,folder_file,cell_ID,data_type,drug,replication_no,aplication_order,drug_in,drug_out,I_setting (nA/'steps'),R_series_Mohm,cell_type,voltage_threshold,max_firing,FI_slope,sag,AP_width,AP_height,AP_slope,mouseline,rheobased_threshold,tau_rc,mean_max_firing,SD_max_firing,mean_FI_slope,SD_FI_slope,mean_rheobased_threshold,mean_voltage_threshold_file,SD_voltage_threshold_file,mean_AP_height_file,mean_AP_slope_file,mean_AP_width
405,JJB230122/t21,5HT230122b,FP,PRE,2,0,,,,,,"[-36.84656, -38.424374, -37.527187, -39.105, -37.155937, -38.08406]",19.740034107810907,0.4000000000000002,"[Sag(val=0.03881032, steady_state=-97.02895, current_inj=-50.0), Sag(val=0.043208323, steady_state=-94.63746, current_inj=-40.0)]","[4.1, 5.0, 4.9, 5.2, 4.9, 5.0]","[43.993126, 48.571873, 47.922188, 48.943123, 47.24156, 47.705624]","[33.84086608886719, 30.357420444488525, 31.94812520345052, 28.790072272805606, 31.494374593098957, 29.816014766693115]",5HT,55.83333333333335,"[Tau(val=74.1, steady_state=-51.398857, current_inj=60.0), Tau(val=77.0, steady_state=-58.58212, current_inj=50.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-37.85718536376953,0.7694395780563354,47.396244049072266,31.04114556156732,4.8500000000000005
406,JJB230122/t22,5HT230122b,FP,PRE,3,0,,,,,,"[-40.095, -37.62, -38.176876, -38.51719, -40.002186, -38.14594, -38.45531, -38.82656, -37.58906, -37.836563, -38.424374]",18.991294938598575,0.4,"[Sag(val=0.06161106, steady_state=-95.44994, current_inj=-50.0), Sag(val=0.049811922, steady_state=-92.92542, current_inj=-40.0)]","[4.9, 4.6, 4.8, 4.4, 5.3, 4.8, 4.9, 5.1, 4.9, 5.1, 5.1]","[47.89125, 47.024998, 47.334377, 44.271564, 49.06687, 47.05594, 47.210625, 47.581875, 46.932186, 46.87031, 47.458122]","[29.932031631469727, 31.349998474121094, 31.556251525878906, 34.05504960280198, 28.862865672392005, 31.370625813802082, 29.506640434265137, 29.73867177963257, 31.288124084472656, 31.2468744913737, 29.66132640838623]",5HT,51.66666666666665,"[Tau(val=85.8, steady_state=-56.54523, current_inj=50.0), Tau(val=90.2, steady_state=-63.03688, current_inj=40.0)]",18.18434565108294,1.978596560390255,0.3000000000000001,0.11291589790636211,142.37654320987656,-38.51718521118164,0.8082597851753235,47.15437316894531,30.778950901690553,4.8999999999999995
397,JJB230122/t8,5HT230122a,FP,TCB2,1,1,,,,,,"[-44.952187, -44.580936, -44.024063, -43.3125]",14.344915227804579,0.20000000000000032,"[Sag(val=0.048815984, steady_state=-90.691216, current_inj=-100.0), Sag(val=0.053849652, steady_state=-89.05557, current_inj=-80.0)]","[7.3, 7.9, 7.8, 7.7]","[64.814064, 64.87594, 63.88594, 62.957813]","[34.11266527677837, 30.893304007393972, 31.942970275878906, 41.971875508626304]",5HT,218.3333333333333,"[Tau(val=35.6, steady_state=-51.926197, current_inj=220.0), Tau(val=31.0, steady_state=-56.18565, current_inj=200.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-44.21742248535156,0.6181207895278931,64.13343811035156,34.73020376716939,7.675
398,JJB230122/t9,5HT230122a,FP,TCB2,2,1,,,,,,"[-43.93125, -43.838436, -44.055, -44.055, -42.84844, -42.786564, -43.343437, -42.69375]",17.706204393542432,0.1749999999999996,"[Sag(val=0.04402803, steady_state=-91.91085, current_inj=-100.0), Sag(val=0.044144973, steady_state=-90.33782, current_inj=-80.0)]","[6.4, 6.7, 7.5, 8.6, 7.2, 7.6, 7.8, 7.3]","[63.576565, 63.143436, 63.050625, 63.298126, 62.277187, 61.596565, 62.277187, 61.00875]","[39.735352993011475, 39.46464776992798, 39.40664052963257, 31.649063110351562, 38.92324209213257, 38.49785327911377, 38.92324209213257, 40.67250061035156]",5HT,213.33333333333312,"[Tau(val=40.5, steady_state=-49.402283, current_inj=240.0), Tau(val=30.2, steady_state=-53.93369, current_inj=220.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-43.44398498535156,0.5589658617973328,62.52855682373047,38.40906780958176,7.3875
399,JJB230122/t10,5HT230122a,FP,TCB2,3,1,,,,,,"[-47.117813, -47.89125, -45.91125, -46.746563, -45.694687]",18.634615370903845,0.2750000000000003,"[Sag(val=0.06636657, steady_state=-91.91069, current_inj=-100.0), Sag(val=0.056657437, steady_state=-90.17967, current_inj=-80.0)]","[6.8, 10.1, 6.9, 8.0, 7.3]","[66.26813, 66.5775, 64.288124, 65.18531, 64.164375]","[41.417579650878906, 17.520394576223275, 42.85874938964844, 40.74081897735596, 42.77625020345052]",5HT,219.99999999999994,"[Tau(val=31.4, steady_state=-54.62926, current_inj=220.0), Tau(val=27.9, steady_state=-57.45152, current_inj=200.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-46.67231369018555,0.8030890822410583,65.29668426513672,37.06275855951142,7.8199999999999985
408,JJB230122/t24,5HT230122b,FP,TCB2,1,1,,,,,,"[-42.29156, -40.095, -40.187813, -40.559063, -38.331562, -39.816563, -41.17781, -39.661877]",15.959500511644762,0.49999999999999967,"[Sag(val=0.02944835, steady_state=-89.47594, current_inj=-50.0), Sag(val=0.048490074, steady_state=-86.59726, current_inj=-40.0)]","[5.4, 4.5, 5.0, 5.1, 4.6, 5.0, 5.5, 4.9]","[48.726562, 44.457188, 46.622814, 46.90125, 44.64281, 45.54, 47.36531, 45.44719]","[30.4541015625, 34.19783665583684, 31.081876118977863, 31.267499287923176, 31.887722015380863, 32.52857208251953, 27.861947452320774, 32.46227809361049]",5HT,37.3333333333333,"[Tau(val=77.8, steady_state=-58.68648, current_inj=30.0), Tau(val=50.1, steady_state=-63.916176, current_inj=20.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-40.265159606933594,1.0819276571273804,46.212890625,31.467729158633695,5.0
409,JJB230122/t25,5HT230122b,FP,TCB2,2,1,,,,,,"[-39.105, -41.858437, -39.75469, -38.45531, -39.909374, -40.373436, -39.47625, -40.095]",16.167689658579846,0.4999999999999998,"[Sag(val=0.061446346, steady_state=-88.86541, current_inj=-50.0), Sag(val=0.098991714, steady_state=-85.85607, current_inj=-40.0)]","[5.0, 5.8, 5.4, 5.2, 5.8, 6.0, 5.5, 5.7]","[43.559998, 45.16875, 45.199688, 43.90031, 44.952187, 45.725624, 44.116875, 45.045002]","[29.039998372395832, 28.230469226837158, 28.249804973602295, 29.266873677571613, 28.09511661529541, 25.403124491373696, 27.573046684265137, 26.497059990377988]",5HT,47.33333333333332,"[Tau(val=94.9, steady_state=-55.89105, current_inj=40.0), Tau(val=75.2, steady_state=-61.089756, current_inj=30.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-39.87843704223633,0.9363387227058411,44.708553314208984,27.79443675396489,5.550000000000001
410,JJB230122/t26,5HT230122b,FP,TCB2,3,1,,,,,,"[-41.301563, -41.765625, -40.46625, -39.445312, -41.085, -40.033127, -38.579063]",15.94339086297911,0.39999999999999997,"[Sag(val=0.07167807, steady_state=-88.521484, current_inj=-50.0), Sag(val=0.09708544, steady_state=-85.614586, current_inj=-40.0)]","[5.5, 6.5, 5.9, 5.6, 6.0, 6.0, 5.5]","[44.055, 46.375313, 44.92125, 44.580936, 45.38531, 44.67375, 43.09594]","[27.534375190734863, 21.079687638716262, 26.424264346852024, 26.224080254049863, 25.214061737060547, 24.818751017252602, 25.350552727194394]",5HT,42.499999999999986,"[Tau(val=75.4, steady_state=-50.315273, current_inj=50.0), Tau(val=48.8, steady_state=-56.556286, current_inj=40.0)]",16.45938600424243,1.5072085991980295,0.3416666666666666,0.1454876856186345,129.8055555555555,-40.38227462768555,1.0358569622039795,44.72678756713867,25.235110415980078,5.857142857142857
807,JJB230405/t9,CBL230405a,AP,TCB2,1,1,14,27.0,short step,,L5b_PT,,,,,,,,CBL,,,,,,,,,,,,
816,JJB230405/t23,CBL230405b,AP,TCB2,1,1,19,32.0,short step,,L5b_PT,,,,,,,,CBL,,,,,,,,,,,,
